FABL,Altenbrunslar,Hp
FACK,Adolfseck,Bush
FAD,Abendstern,Bf
FADD,Allendorf (Dillkr),Hp
FADF,Allendorf (Lumda),Bush
FADF,Allendorf (Lumda),Anst
FADH,Adolfshütte,Bush
FAF,Arfurt (Lahn),Hp
FAFB,Aufenauerberg,Bf
FAFD,Alsfeld (Oberhess),Bf
FAFDH,Alsfeld Hersfelder Str.,Bush
FAFDI,Alsfeld (Oberhessen),Anst
FAFK,Aufenau Kindergarten,Bush
FAG,Albig,Bf
FAGB,Albig Bk,Bk
FAGN,Altengronau Nord,Bush
FAH,Aßmannshausen,Bf
FAH S,Aßmannshausen (Schiff),Slst
FAHM,Alsheim,Bf
FAHN,Altenhasungen,Hp
FAL,Aßlar,Bf
FALB,Albungen,Anst
FALD,Allendorf (Eder),Anst
FALF,Allendorf (Kr Wetzlar),Bush
FALH,Albisheim (Pfrimm),Bf
FALI,Alzey Industriestammgleis,Awanst
FALS,Albshausen,Bf
FALV,Allendorf (Eder) Viessmann I,Anst
FALV,Allendorf (Eder) Viessmann 1,Anst
FALZ,Alzey,Bf
FALZ1,Alzey,Est
FAM,Auringen-Medenbach,Hp
FAMD,Amdorf,Bush
FAMO,Altmorschen,Hp Bk
FANG,Angersbach,Hp Anst
FANR,Anraff,Hp
FAR,Bad Arolsen,Bf
FARM,Armsheim,Bf
FAS,Assenheim (Oberhess),Bf
FASB,Asbach (Kr Hersfeld),Anst
FASM,Asmushausen,Bush
FAST,Altenstadt (Hess),Bf
FAT,Altheim (Hess),Hp
FATF,Altenfeld (Rhön),Hp
FAU,Bad Orb Aumühle,Bf
FAUD,Audenschmiede,Tp
FAUH,Auhammer,Tp
FAUM,Aumenau,Bf
FAVI,Allendorf (Eder) Viessmann II,Anst
FAVI,Allendorf (Eder) Viessmann 2,Anst
FAZ,Anzefahr,Hp
FAZB,Alzenau Burg,Bf
FAZS,Alzey Süd,Hp
FAZU,Alzenau (Unterfr),Bf
FB,Bebra,Bf
FB A,Bebra Pbf/Rbf Ültg,Bft
FB B,Bebra Berg,Bft
FB C,Bebra Rbf/Gbf,Bft
FB M,Bebra Mitte,Bft
FB O,Bebra Ost,Bft
FB R,Bebra Rbf,Bft
FB T,Bebra Tunnel,Bft
FB U,Bebra Umladebahnhof,Bft
FBA,Babenhausen (Hess),Bf
FBAD,Balduinstein,Bf
FBAE,Edersee-Hemfurth,Hp
FBAF,Battenfeld,Tp
FBAH,Balhorn,Bf
FBAL,Ballersbach,Hp
FBAN,Bannberscheid-Staudt,Tp
FBAN,Bannberscheid-Staudt,Anst
FBAU,Bensheim-Auerbach,Bf
FBB,Bruchenbrücken,Hp
FBBH,Birkenbringhausen,Hp
FBBM,Biebesheim,Bf
FBCH,Bacharach,Bf
FBCHS,Bacharach (Schiff),Slst
FBDG,Büdingen (Oberhess),Bf
FBDH,Büches-Düdelsheim,Hp
FBDR,Büdesheim-Dromersheim,Abzw
FBDW,Büdingen,Hp
FBE,Bad Endbach,Hp
FBEB,Bechtolsheim-Biebelnheim,Anst
FBED,Berndorf (Waldeck),Tp
FBEF,Beiseförth,Bf
FBEH,Beiershausen,Tp
FBEI,Beienheim,Bf
FBEN,Bermutshain,Anst
FBES,Beilstein (Dillkr),Tp
FBES,Beilstein (Dillkr),Bf
FBEZ,Berzhahn,Hp
FBFO,Braunfels-Oberndorf,Anst
FBFS,Leun/Braunfels,Bf
FBGG,Bingen-Gaulsheim,Hp
FBGH,Burgholzhausen v d Höhe,Hp
FBGK,Bingen (Rhein) Hbf,Bf
FBGKG,Bingen (Rhein) Gbf,Bft
FBGKS,Bingen (Rhein) (Schiff),Slst
FBGKV,Bingen (Rhein) Vorbahnhof,Bft
FBGN,Bingen (Rhein) Stadt,Bf
FBGR,Baunatal-Grossenritte,Bf
FBH,Bensheim,Bf
FBHB,Bad Hersfeld Babcock-Schilde/RTO,Anst
FBHE,Bad Hersfeld-Eichhof,Tp
FBHF,Bad Hersfeld,Bf
FBHFU,Bad Hersfeld Busbf,Bush
FBHG,Bergheim-Giflitz,Bf
FBHK,Bad Hersfeld Kurpark,Hp
FBHM,Büdesheim (Oberhess),Bf
FBHN,Bernshausen (Oberhess),Anst
FBI,Bickenbach (Bergstr),Bf
FBIB,Bieberstein,Bf
FBIH,Bischhausen,Tp
FBIK,Biedenkopf,Bf
FBIN,Bicken (Dillkreis),Hp
FBIS,Bischoffen,Bf
FBIZ,Biedenkopf Schulzentrum,Hp
FBK,Bruchköbel,Hp
FBKB,Bad Hersfeld Kreisbahn (ehem),Bf
FBL,Biblis,Bf
FBLA,Blankenheim,Bf
FBLB,Bleidenstadt,Museum
FBLH,Bleichenbach (Oberhess),Hp
FBLK,Blankenbach,Bf
FBMA,Bad Marienberg,Bf
FBMB,Baumbach,Hp
FBMH,Bömighausen Burlande,Bush
FBMHW,Bömighausen Wiesengrund,Bush
FBMR,Maintal West,Hp
FBN,Breidenstein (Kr Biedenkopf),Tp
FBNA,Bad Nauheim,Bf
FBNAE,Bad Nauheim EFW,Museum
FBNAP,Bad Nauheim Parkstr.,Bush
FBNG,Burg-und Nieder Gemünden,Bf
FBNN,Bad Nauheim Nord,Bf
FBNU,Buchenau (Lahn),Bf
FBO,Borsdorf (Hess),Hp Anst
FBOD,Bodenheim,Bf
FBOF,Bonaforth Zellstoffwerke,Awanst
FBOK,Borken (Hess),Bf
FBON,Bonbaden,Tp
FBOS,Bosserode,Hp
FBR,Breitscheid (Dillkr),Bf
FBRB,Breitenbach (Kr Kassel),Bf
FBRD,Brandoberndorf,Hp
FBRE,Breidenbach (Kr Biedenkopf),Anst
FBRG,Bürgeln,Hp
FBRH,Breithardt,Museum
FBRM,Breckenheim Plng NBS,Abzw
FBRO,Bronnzell,Anst
FBRS,Kelsterbach Brunnenschneise Plng N,Abzw
FBRU,Brungershausen,Hp
FBSB,Bad Schwalbach,Bf
FBSD,Bad Sooden-Allendorf,Bf
FBSDB,Bad Sooden-Allendorf Bus,Bush
FBSH,Bad Salzhausen,Hp
FBSN,Bergschneise,Abzw
FBSO,Bad Soden (Taunus),Bf
FBSS,Bad Soden-Salmünster,Bf
FBSSB,Bad Soden-Salmünster Bus,Bush
FBST,Bobstadt,Hp
FBTB,Breitenbach (Herzberg),Bf
FBTG,Battenberg,Anst
FBTL,Baunatal,Bf
FBTV,Battenberg Viessmann,Anst
FBUD,Budenheim,Bf
FBUE,Bürstadt,Bf
FBUG,Burg (Dillkr),Bf
FBUH,Burghaun (Kr Hünfeld),Bf
FBUL,Buhlen,Hp
FBUN,Burg (Dillkr) Nord,Hp
FBUO,Burgsolms-Oberndorf,Tp
FBUP,Bürstadt (Hp),Hp
FBUS,Dreieich-Buchschlag,Bf
FBW,Berstadt-Wohnbach,Hp Anst
FBWD,Bad Wildungen,Bf
FBWDB,Bad Wildungen Busbf,Bush
FBZ,Butzbach,Bf
FBZM,Frankfurt Betriebszentrale NL Mitte,BZ
FBZN,Butzbach Nord,Bf
FBZO,Butzbach Ost,Bf
FCA,Bad Camberg,Bf
FCG,Cornberg,Bf
FCH,Chausseehaus,Museum
FCLD,Caldern,Hp Anst
FCOE,Cölbe,Bf
FCU,Carlshütte,Tp
FCX,Raunheim Caltex Plng NBS,Abzw
FD,Darmstadt Hbf,Bf
FD Z,Darmstadt Hbf ZOB,Bush
FDA,Darmstadt-Arheilgen,Bf
FDAL,Darmstadt Lichtwiese,Hp
FDAU,Daubringen,Tp
FDAU,Daubringen,Bf
FDBT,Dillbrecht,Bf
FDCH,Dreieich-Dreieichenhain,Hp
FDD,Damm (Kr Marburg) Dorf,Hp
FDE,Darmstadt-Eberstadt,Bf
FDET,Dettingen (Main),Bf
FDF,Driedorf,Bf
FDFD,Dransfeld,Tp
FDFD,Dransfeld,Bf
FDG,Groß Gerau-Dornberg,Bf
FDH,Dorheim (Wetterau),Hp
FDI,Dieburg,Bf
FDIE,Dietershan,Üst
FDIK,Dillenburg Kurhaus,Tp
FDIL,Dillenburg,Bf
FDIL1,Dillenburg (Est),Est
